Concurrencia,Nivel Aislamiento,Exitos,Fallos,Deadlocks,Tiempo Avg (ms),Estado Final
10,READ COMMITTED,0,10,0,108.01,reservado
10,READ COMMITTED,0,10,0,108.28,disponible
5,READ COMMITTED,0,5,0,55.10,disponible
5,REPEATABLE READ,0,5,0,34.02,disponible
5,SERIALIZABLE,0,5,0,49.69,disponible
10,READ COMMITTED,0,10,0,85.92,disponible
10,REPEATABLE READ,0,10,0,90.71,disponible
10,SERIALIZABLE,0,10,0,90.15,disponible
20,READ COMMITTED,1,19,0,199.04,reservado
20,REPEATABLE READ,1,19,0,193.74,reservado
20,SERIALIZABLE,1,19,0,247.41,reservado
30,READ COMMITTED,1,29,0,403.77,reservado
30,REPEATABLE READ,1,29,0,288.72,reservado
30,SERIALIZABLE,1,29,0,313.66,reservado
